Date,Time,Ping (ms),Jitter (ms),Download (Mbps),Upload (Mbps)
10/06/23,00:00,5.22,0.52,47.43,23.88
10/06/23,00:30,3.49,0.52,47.81,23.87
10/06/23,01:00,4.68,1.36,47.85,23.90
10/06/23,01:30,5.70,0.89,47.73,23.74
10/06/23,02:00,5.31,1.47,47.88,23.93
10/06/23,02:30,4.18,0.89,47.82,23.85
10/06/23,03:00,6.02,4.44,47.83,23.87
10/06/23,03:30,5.73,0.88,47.84,23.87
10/06/23,04:00,8.30,1.03,47.79,23.90
10/06/23,04:30,3.34,0.98,47.84,23.86
10/06/23,05:00,6.15,0.64,47.85,23.87
10/06/23,05:30,4.01,0.23,47.80,23.87
10/06/23,06:00,8.56,1.08,47.81,23.86
10/06/23,06:30,6.19,0.57,47.82,23.87
10/06/23,07:00,5.95,0.81,47.84,23.90
10/06/23,07:30,3.55,0.49,47.80,23.87
10/06/23,08:00,4.95,0.98,47.84,23.90
10/06/23,08:30,3.79,0.75,47.81,23.82
10/06/23,09:00,5.79,1.90,47.81,23.87
10/06/23,09:30,4.26,1.07,47.85,23.87
10/06/23,10:00,4.77,0.61,47.78,23.88
10/06/23,10:30,6.34,0.76,47.79,23.85
10/06/23,11:00,6.63,1.42,47.84,23.86
